workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
rdt2,linear_gemm,28x4096x1024,28,4096,1024,1,117440512,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,24x1024x1024,24,1024,1024,2,25165824,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,1x9216x2048,1,9216,2048,2,18874368,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,1x2048x2048,1,2048,2048,1,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,28x20x4096,28,20,4096,1,2293760,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,1x1024x1024,1,1024,1024,1,1048576,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,24x1024x20,24,1024,20,1,491520,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt2,linear_gemm,1x1024x256,1,1024,256,1,262144,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,attention_contraction,1024x1024x1024,1024,1024,1024,36,1073741824,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn
smolvla,attention_contraction,1024x1024x64,1024,1024,64,12,67108864,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn
smolvla,attention_contraction,1024x64x1024,1024,64,1024,12,67108864,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn
smolvla,attention_contraction,1024x1x1024,1024,1,1024,24,1048576,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn
smolvla,linear_gemm,1024x768x768,1024,768,768,48,603979776,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.q_proj
smolvla,linear_gemm,1024x3072x768,1024,3072,768,12,2415919104,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc1
smolvla,linear_gemm,1024x768x3072,1024,768,3072,12,2415919104,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc2
smolvla,linear_gemm,113x2560x960,113,2560,960,32,277708800,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.text_model.layers.0.mlp.gate_proj
