[gsim-emu] zero-init 587928 register words
[gsim-probe post-reset] rocket_pc=0x0 muon_c0t0_currPC=0x10000000 muon_minstret[c0t0=0 c0t1=0 c1t0=0 c1t1=0] muon_be_reset=1
[gsim-emu] reset done, running (max_cycles=2000000)
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x10003088 muon_minstret[c0t0=523 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x100038c0 muon_minstret[c0t0=871 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003868 muon_minstret[c0t0=1525 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x100037c8 muon_minstret[c0t0=2171 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x100036e8 muon_minstret[c0t0=2814 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003918 muon_minstret[c0t0=3472 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x100038e0 muon_minstret[c0t0=4131 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x100038c0 muon_minstret[c0t0=4793 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003848 muon_minstret[c0t0=5442 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x100037b8 muon_minstret[c0t0=6089 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x10003918 muon_minstret[c0t0=6733 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003910 muon_minstret[c0t0=7393 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x100038e0 muon_minstret[c0t0=8053 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x100038b8 muon_minstret[c0t0=8712 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003830 muon_minstret[c0t0=9359 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x10003750 muon_minstret[c0t0=9998 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002a muon_c0t0_currPC=0x10003918 muon_minstret[c0t0=10654 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000001c muon_c0t0_currPC=0x10003900 muon_minstret[c0t0=11313 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
[gsim-probe tick] rocket_pc=0x8000002c muon_c0t0_currPC=0x100038d0 muon_minstret[c0t0=11974 c0t1=37 c1t0=37 c1t1=37] muon_be_reset=0
